"","unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"A1",33756,3120,53057,6394,1881,476,9481,4773,16430,0.991296408404567,0.805599512595496,0.878696969752301,"FALSE","H1975","H1975","SNG"
"A10",112059,13284,256735,64047,6139,625,9204,9950,73088,0.997277254679663,0.872523533155576,0.927511913376763,"FALSE","H2228","H2228","SNG"
"A11",56617,6801,102027,42009,2669,684,9216,6907,31179,0.993392988552105,0.846723756102914,0.901856729896171,"FALSE","HCC827","HCC827","SNG"
"A13",59017,7080,120423,40772,2963,606,3995,7731,34288,0.994692020241865,0.878353942814292,0.925396370334703,"FALSE","H2228","H2228","SNG"
"A14",92526,10093,180806,46027,4641,737,34675,8011,48246,0.995377854952664,0.820441072665,0.903701673982988,"FALSE","HCC827","HCC827","SNG"
"A15",90225,7468,135178,40956,3981,693,4006,8077,39809,0.995026250095449,0.867215955972967,0.8985151853814,"FALSE","H1975","H1975","SNG"
"A16",113156,9435,244766,31387,5731,462,39069,9684,70653,0.997551413103824,0.85314140930277,0.937383984065222,"FALSE","H2228","H2228","SNG"
"A18",117314,14163,246667,71350,6308,772,5425,9825,70361,0.996631656600015,0.866218501603698,0.907832334982116,"FALSE","HCC827","HCC827","SNG"
"A2",157800,14264,268107,62146,5596,736,46604,9543,68440,0.996843950760251,0.859453535818315,0.938690686924213,"FALSE","H2228","H2228","SNG"
"A20",77192,9330,148955,28649,4335,597,26394,7825,41252,0.995709298701709,0.82366915523522,0.907252761744216,"FALSE","H1975","H1975","SNG"
"A21",54571,4879,136439,17318,3127,439,2467,7663,37817,0.996430176641079,0.885236798031246,0.945897097628818,"FALSE","H2228","H2228","SNG"
"A3",90380,8750,169902,35034,3716,665,3337,8435,48789,0.99631064358845,0.862018077668733,0.904896410072678,"FALSE","HCC827","HCC827","SNG"
