"","unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"CELL_000001",101619,5913,254630,64711,6942,0,7566,9284,74261,0.848022515068741,0.895463177783335,"FALSE","H1975","H1975","SNG"
"CELL_000002",95759,10881,234950,86606,5960,0,7864,9255,68421,0.857982198322447,0.899124406377515,"FALSE","HCC827","HCC827","SNG"
"CELL_000003",92448,6336,251846,29568,6869,0,7975,9650,80134,0.839780866942898,0.893578144910008,"FALSE","HCC827","HCC827","SNG"
"CELL_000004",92454,6197,235800,27495,6058,0,4888,9257,74611,0.852179973348142,0.883435299964442,"FALSE","HCC827","HCC827","SNG"
"CELL_000005",74750,6194,218966,29425,5872,0,6211,9125,66161,0.839104608328304,0.898157389072507,"FALSE","H1975","H1975","SNG"
"CELL_000006",69664,6737,178243,62729,4301,0,9663,8304,52576,0.845766128871393,0.910757586967897,"FALSE","HCC827","HCC827","SNG"
"CELL_000007",71031,4705,205003,33545,6145,0,7379,8976,61860,0.827610733781505,0.885531702953168,"FALSE","H1975","H1975","SNG"
"CELL_000008",65417,6865,176749,67261,4262,0,6286,8549,52054,0.860029968713254,0.922080738832609,"FALSE","H2228","H2228","SNG"
"CELL_000009",68752,5930,166145,73059,4459,0,5780,8994,55003,0.841645001028736,0.908695724106735,"FALSE","H1975","H1975","SNG"
"CELL_000010",74259,5722,185778,42614,4580,0,10988,8541,59293,0.840402745544937,0.890897594842967,"FALSE","HCC827","HCC827","SNG"
"CELL_000011",64708,4069,184053,43631,5043,0,5902,8819,55891,0.847524646034688,0.914512011860226,"FALSE","H1975","H1975","SNG"
"CELL_000012",68312,5014,179772,38179,5301,0,5430,8655,55654,0.843587163394619,0.883889588548965,"FALSE","H1975","H1975","SNG"
"CELL_000013",60299,5707,169223,59179,4143,0,5382,8330,49934,0.857491889122143,0.921896719290119,"FALSE","H2228","H2228","SNG"
"CELL_000014",62226,6211,161194,58026,4334,0,8086,8348,49167,0.852156934355939,0.908047896343503,"FALSE","H1975","H1975","SNG"
"CELL_000015",65300,4149,177811,28051,4986,0,4207,8695,56866,0.851492983355345,0.885133316017776,"FALSE","H1975","H1975","SNG"
"CELL_000016",65664,4336,158039,41319,4168,0,6854,7981,50601,0.828125926201434,0.886919055568258,"FALSE","HCC827","HCC827","SNG"
"CELL_000017",61037,5984,138259,56836,3682,0,4114,7848,41528,0.855471007307005,0.897081271170952,"FALSE","HCC827","HCC827","SNG"
"CELL_000018",60244,4939,157098,40986,4180,0,6830,8104,49169,0.844210783045372,0.891984605750655,"FALSE","HCC827","HCC827","SNG"
"CELL_000019",59708,5215,156564,36383,3855,0,4574,7801,44724,0.853009569615193,0.910987185630269,"FALSE","H2228","H2228","SNG"
"CELL_000020",52817,5122,131998,59962,3335,0,2306,7686,39128,0.868585156187747,0.928337525982027,"FALSE","H2228","H2228","SNG"
"CELL_000021",64108,4655,159827,20307,4763,0,5935,7803,50528,0.835813806041044,0.86975521102058,"FALSE","HCC827","HCC827","SNG"
"CELL_000022",52035,3582,157960,33149,3628,0,3239,8182,46911,0.861674234004461,0.929632510576941,"FALSE","H2228","H2228","SNG"
"CELL_000023",55255,3875,160144,23434,4547,0,6277,8456,48947,0.846078411170025,0.91402927369823,"FALSE","H1975","H1975","SNG"
"CELL_000024",55443,3748,136279,41255,3496,0,5030,7979,41017,0.835946070937429,0.900236267831322,"FALSE","H1975","H1975","DBL"
"CELL_000025",53343,3413,147640,29261,4201,0,3794,8440,47009,0.846816566860215,0.905783806125677,"FALSE","H1975","H1975","SNG"
"CELL_000026",51020,4454,121932,53092,3236,0,5518,7497,36576,0.852526246486077,0.913084833474182,"FALSE","H2228","H2228","SNG"
"CELL_000027",56345,3387,153676,14501,4333,0,5660,7612,47739,0.828714468080874,0.880726265584477,"FALSE","HCC827","HCC827","SNG"
"CELL_000028",56152,6440,141098,24693,4062,0,5737,8269,45618,0.830132842117118,0.895282367643832,"FALSE","H1975","H1975","SNG"
"CELL_000029",50461,4461,148150,23339,4542,0,3954,8451,47196,0.837041274506941,0.898804793032292,"FALSE","H1975","H1975","SNG"
"CELL_000030",53114,3829,141013,27123,4220,0,1596,8017,44525,0.84514317780008,0.903559594933275,"FALSE","H1975","H1975","SNG"
"CELL_000031",48989,3155,137779,35355,3720,0,8293,8107,43834,0.843272345475368,0.914312881709887,"FALSE","H1975","H1975","SNG"
"CELL_000032",55776,4207,130014,28734,3780,0,8620,7243,40024,0.833799719959574,0.888891442911392,"FALSE","HCC827","HCC827","SNG"
"CELL_000033",47630,3567,120858,45802,3165,0,3555,7243,36306,0.847793752865148,0.914421606780806,"FALSE","H2228","H2228","SNG"
"CELL_000034",49519,4661,116188,47064,3038,0,5111,7079,34815,0.851242280381662,0.895504553926597,"FALSE","HCC827","HCC827","SNG"
"CELL_000035",52360,3826,144284,15118,4339,0,4367,7898,45177,0.839254487717366,0.883900904464461,"FALSE","H1975","H1975","SNG"
"CELL_000036",48881,2942,145882,15110,4154,0,2254,7871,45197,0.859437573100109,0.902316325792348,"FALSE","H2228","H2228","SNG"
"CELL_000037",44550,4019,121657,31941,2984,0,3290,7559,37372,0.851546612209262,0.907443832964831,"FALSE","H2228","H2228","SNG"
"CELL_000038",21861,1980,61905,13373,1450,0,2582,5322,18915,0.849537403727445,0.900237430485102,"FALSE","HCC827","HCC827","SNG"
"CELL_000039",38700,4007,94117,61348,1936,0,3588,6614,27977,0.883475711876371,0.950566197031062,"FALSE","H1975","H1975","SNG"
"CELL_000040",43977,3566,107657,40148,2982,0,4991,6772,32229,0.843867324197503,0.897824661694542,"FALSE","HCC827","HCC827","SNG"
"CELL_000041",38979,4078,103870,49884,2116,0,4952,6929,30005,0.862489584781707,0.947241810617627,"FALSE","H2228","H2228","SNG"
"CELL_000042",42229,2639,124064,23380,3333,0,2776,7416,38161,0.861481617132286,0.921830947346519,"FALSE","H2228","H2228","SNG"
"CELL_000043",37912,3741,102492,46602,2284,0,3595,6943,30692,0.863482340393757,0.943144486138249,"FALSE","H2228","H2228","SNG"
"CELL_000044",43134,3002,118901,22764,3693,0,4057,7429,38485,0.839755748774911,0.894608056487448,"FALSE","H1975","H1975","SNG"
"CELL_000045",38537,5304,103537,42397,2144,0,6456,7334,31737,0.862589406414409,0.935248783675589,"FALSE","H2228","H2228","SNG"
"CELL_000046",47322,3618,118571,20619,3336,0,6009,7094,37744,0.837166171885024,0.87931833422045,"FALSE","HCC827","HCC827","SNG"
"CELL_000047",42040,3394,109915,32555,2783,0,2678,7316,34082,0.853030925164887,0.904172025065423,"FALSE","HCC827","HCC827","DBL"
"CELL_000048",44301,3429,120122,19636,3273,0,3968,7487,39475,0.842026598900056,0.893172667973992,"FALSE","HCC827","HCC827","SNG"
"CELL_000049",43102,3664,117588,21160,2801,0,6691,7478,37451,0.838829403530258,0.90232546465369,"FALSE","HCC827","HCC827","SNG"
"CELL_000050",40540,2540,121545,18646,2873,0,1196,7148,36897,0.855028863903561,0.898067350172819,"FALSE","H2228","H2228","SNG"
"CELL_000051",36898,4350,92843,48287,1963,0,2962,6731,27517,0.862085256073669,0.928989014431437,"FALSE","H2228","H2228","SNG"
"CELL_000053",42451,3856,98021,36704,2419,0,5236,6442,30321,0.842518386318882,0.88621718076014,"FALSE","HCC827","HCC827","SNG"
"CELL_000054",42561,3591,102342,29085,2714,0,4765,6712,32658,0.841110906717769,0.902443229088361,"FALSE","HCC827","HCC827","SNG"
"CELL_000055",38164,3880,91976,40123,2436,0,3073,6483,27326,0.857571543271034,0.916343073869914,"FALSE","H2228","H2228","SNG"
"CELL_000056",41616,3044,105764,23144,3130,0,2786,6905,33570,0.829341673866744,0.886535333173866,"FALSE","H1975","H1975","SNG"
"CELL_000057",39767,2702,105688,25022,3128,0,4148,7154,34223,0.836893317115129,0.916634743700218,"FALSE","H1975","H1975","SNG"
"CELL_000058",43658,2441,115520,9010,3996,0,3040,7626,39459,0.837730302126833,0.888516969888499,"FALSE","H1975","H1975","SNG"
"CELL_000059",37325,5120,76119,56792,1718,0,1725,6104,24583,0.875523735558913,0.920757873018805,"FALSE","HCC827","HCC827","SNG"
"CELL_000060",40078,2883,103537,24029,2962,0,4952,6734,32298,0.833023716380883,0.894389468577166,"FALSE","HCC827","HCC827","SNG"
"CELL_000061",40022,2527,110736,17020,3097,0,3962,7170,34740,0.860449049838673,0.913615165913884,"FALSE","H1975","H1975","SNG"
"CELL_000062",33874,3729,96336,30438,2635,0,2408,6372,28371,0.855944450017291,0.922138478679469,"FALSE","H2228","H2228","SNG"
"CELL_000063",38542,3904,91037,32839,2596,0,1315,6692,27908,0.855274472962851,0.90511648806203,"FALSE","H1975","H1975","SNG"
"CELL_000064",39047,2510,94315,29487,2568,0,3893,6820,29650,0.84080944322401,0.895244217455576,"FALSE","H1975","H1975","SNG"
"CELL_000065",38664,2980,101348,20346,2640,0,2065,6870,31948,0.84612495278386,0.895673940254808,"FALSE","HCC827","HCC827","SNG"
"CELL_000066",41107,3379,89063,30280,2530,0,6723,6089,28725,0.819878154631896,0.875648085065941,"FALSE","HCC827","HCC827","SNG"
"CELL_000067",40344,3917,95243,25006,2698,0,4931,6352,29340,0.827880026984363,0.895228052069512,"FALSE","HCC827","HCC827","SNG"
"CELL_000068",35372,2342,103310,20301,2627,0,1678,6897,32022,0.863281493703304,0.917056736913142,"FALSE","H2228","H2228","SNG"
"CELL_000069",36972,3610,99364,20627,2630,0,5578,6709,30584,0.84652105648492,0.920971448806092,"FALSE","H2228","H2228","SNG"
"CELL_000070",37007,2322,101015,20452,2505,0,2330,6664,30590,0.848283752583104,0.911637492109352,"FALSE","H1975","H1975","SNG"
"CELL_000071",39877,2852,93437,23137,2303,0,4531,6391,29725,0.833843565741348,0.885113243023299,"FALSE","HCC827","HCC827","SNG"
"CELL_000072",37584,2400,98606,19552,2768,0,5135,6717,30362,0.836637902365905,0.888676342574158,"FALSE","H1975","H1975","SNG"
"CELL_000073",33707,2990,88049,31915,2182,0,3034,6270,27003,0.847535458709204,0.902269783998154,"FALSE","H2228","H2228","SNG"
"CELL_000074",32777,3911,75795,45044,1770,0,2586,6326,23471,0.87486685659969,0.943461742805274,"FALSE","H1975","H1975","SNG"
"CELL_000075",31990,3909,82254,35618,1998,0,3295,6235,24768,0.849402454437418,0.929868810614983,"FALSE","H2228","H2228","SNG"
"CELL_000076",26296,1621,70214,6371,2152,0,1705,5798,22401,0.839962501299066,0.882549492188076,"FALSE","H1975","H1975","SNG"
"CELL_000077",36720,2134,104308,12211,2967,0,3589,7084,33075,0.833076341395895,0.900377656726332,"FALSE","H1975","H1975","SNG"
"CELL_000078",36496,1961,102947,13335,2711,0,1875,7038,33313,0.84153333508194,0.894965660563245,"FALSE","H1975","H1975","SNG"
"CELL_000079",21011,1650,51766,12069,1424,0,2620,4877,16174,0.831519722498133,0.897427415959308,"FALSE","HCC827","HCC827","SNG"
"CELL_000080",34141,2750,88593,23002,2778,0,5714,6853,28223,0.828012613532221,0.910073021977457,"FALSE","H1975","H1975","SNG"
"CELL_000081",32570,3356,82104,32671,1966,0,4142,6579,27186,0.843080997262164,0.917199692047491,"FALSE","H2228","H2228","SNG"
"CELL_000082",36082,3110,92306,14973,2500,0,3383,6474,29921,0.851442130660258,0.890177169821473,"FALSE","HCC827","HCC827","SNG"
"CELL_000083",37675,2517,80814,24614,2150,0,3353,6014,25178,0.85983795342766,0.870720124426037,"FALSE","HCC827","HCC827","SNG"
"CELL_000084",35024,2407,92620,16834,2478,0,3074,6295,29389,0.831705739959949,0.886589919156855,"FALSE","HCC827","HCC827","SNG"
"CELL_000085",35754,2988,86003,20623,2501,0,4605,6172,28675,0.830967741645696,0.877209807424653,"FALSE","HCC827","HCC827","SNG"
"CELL_000086",32906,2796,93950,16492,2573,0,3530,6476,29024,0.849021499156208,0.907731219772871,"FALSE","HCC827","HCC827","SNG"
"CELL_000087",39974,2535,93826,8598,2654,0,3047,6788,31918,0.830659815517683,0.849457719951839,"FALSE","H1975","HCC827","DBL"
"CELL_000088",33822,3587,71112,36344,1847,0,5189,5545,21565,0.853559007255479,0.899837282709352,"FALSE","HCC827","HCC827","SNG"
"CELL_000089",17906,1035,44369,5353,1173,0,1261,4344,13730,0.846394755392283,0.882082387412682,"FALSE","H1975","H1975","SNG"
"CELL_000090",30900,2280,86776,18985,2588,0,2257,6520,26976,0.839561091029226,0.893757082681983,"FALSE","H1975","H1975","SNG"
"CELL_000091",30401,3280,78636,27124,2034,0,2058,6210,24357,0.859301227220388,0.929834983850645,"FALSE","H2228","H2228","SNG"
"CELL_000092",30737,2545,80586,23912,2063,0,3592,6098,24578,0.854748148403146,0.904060174114992,"FALSE","HCC827","HCC827","SNG"
"CELL_000093",33934,3424,84274,16374,2415,0,2220,5991,26437,0.840829140658611,0.880281090789011,"FALSE","HCC827","HCC827","SNG"
