"","cell_age","cell_type"
"young_LT_HSC_2","young","LT"
"young_LT_HSC_6","young","LT"
"young_LT_HSC_8","young","LT"
"young_LT_HSC_9","young","LT"
"young_LT_HSC_10","young","LT"
"young_LT_HSC_11","young","LT"
"young_LT_HSC_12","young","LT"
"young_LT_HSC_14","young","LT"
"young_LT_HSC_15","young","LT"
"young_LT_HSC_16","young","LT"
"young_LT_HSC_17","young","LT"
"young_LT_HSC_18","young","LT"
"young_LT_HSC_19","young","LT"
"young_LT_HSC_20","young","LT"
"young_LT_HSC_21","young","LT"
"young_LT_HSC_22","young","LT"
"young_LT_HSC_23","young","LT"
"young_LT_HSC_24","young","LT"
"young_LT_HSC_26","young","LT"
"young_LT_HSC_28","young","LT"
"young_LT_HSC_25","young","LT"
"young_LT_HSC_30","young","LT"
"young_LT_HSC_31","young","LT"
"young_LT_HSC_32","young","LT"
"young_LT_HSC_33","young","LT"
"young_LT_HSC_34","young","LT"
"young_LT_HSC_35","young","LT"
"young_LT_HSC_36","young","LT"
"young_LT_HSC_38","young","LT"
"young_LT_HSC_40","young","LT"
"young_LT_HSC_37","young","LT"
"young_LT_HSC_41","young","LT"
"young_LT_HSC_42","young","LT"
"young_LT_HSC_43","young","LT"
"young_LT_HSC_44","young","LT"
"young_LT_HSC_45","young","LT"
"young_LT_HSC_46","young","LT"
"young_LT_HSC_47","young","LT"
"young_LT_HSC_48","young","LT"
"young_LT_HSC_50","young","LT"
"young_LT_HSC_51","young","LT"
"young_LT_HSC_49","young","LT"
"young_LT_HSC_53","young","LT"
"young_LT_HSC_54","young","LT"
"young_LT_HSC_55","young","LT"
"young_LT_HSC_56","young","LT"
"young_LT_HSC_57","young","LT"
"young_LT_HSC_58","young","LT"
"young_LT_HSC_59","young","LT"
"young_LT_HSC_60","young","LT"
"young_LT_HSC_62","young","LT"
"young_LT_HSC_63","young","LT"
"young_LT_HSC_64","young","LT"
"young_LT_HSC_61","young","LT"
"young_LT_HSC_65","young","LT"
"young_LT_HSC_66","young","LT"
"young_LT_HSC_67","young","LT"
"young_LT_HSC_68","young","LT"
"young_LT_HSC_69","young","LT"
"young_LT_HSC_70","young","LT"
"young_LT_HSC_71","young","LT"
"young_LT_HSC_72","young","LT"
"young_LT_HSC_74","young","LT"
"young_LT_HSC_75","young","LT"
"young_LT_HSC_76","young","LT"
"young_LT_HSC_73","young","LT"
"young_LT_HSC_78","young","LT"
"young_LT_HSC_80","young","LT"
"young_LT_HSC_81","young","LT"
"young_LT_HSC_82","young","LT"
"young_LT_HSC_83","young","LT"
"young_LT_HSC_84","young","LT"
"young_LT_HSC_86","young","LT"
"young_LT_HSC_87","young","LT"
"young_LT_HSC_88","young","LT"
"young_LT_HSC_89","young","LT"
"young_LT_HSC_90","young","LT"
"young_LT_HSC_91","young","LT"
"young_LT_HSC_92","young","LT"
"young_LT_HSC_93","young","LT"
"young_LT_HSC_94","young","LT"
"young_LT_HSC_95","young","LT"
"young_LT_HSC_96","young","LT"
"young_LT_HSC_101","young","LT"
"young_LT_HSC_102","young","LT"
"young_LT_HSC_104","young","LT"
"young_LT_HSC_107","young","LT"
"young_LT_HSC_108","young","LT"
"young_LT_HSC_110","young","LT"
"young_LT_HSC_111","young","LT"
"young_LT_HSC_112","young","LT"
"young_LT_HSC_109","young","LT"
"young_LT_HSC_113","young","LT"
"young_LT_HSC_114","young","LT"
"young_LT_HSC_115","young","LT"
"young_LT_HSC_116","young","LT"
"young_LT_HSC_117","young","LT"
"young_LT_HSC_118","young","LT"
"young_LT_HSC_119","young","LT"
"young_LT_HSC_122","young","LT"
"young_LT_HSC_123","young","LT"
"young_LT_HSC_121","young","LT"
"young_LT_HSC_125","young","LT"
"young_LT_HSC_126","young","LT"
"young_LT_HSC_127","young","LT"
"young_LT_HSC_128","young","LT"
"young_LT_HSC_129","young","LT"
"young_LT_HSC_130","young","LT"
"young_LT_HSC_131","young","LT"
"young_LT_HSC_132","young","LT"
"young_LT_HSC_134","young","LT"
"young_LT_HSC_135","young","LT"
"young_LT_HSC_136","young","LT"
"young_LT_HSC_133","young","LT"
"young_LT_HSC_137","young","LT"
"young_LT_HSC_138","young","LT"
"young_LT_HSC_139","young","LT"
"young_LT_HSC_140","young","LT"
"young_LT_HSC_141","young","LT"
"young_LT_HSC_142","young","LT"
"young_LT_HSC_143","young","LT"
"young_LT_HSC_144","young","LT"
"young_LT_HSC_146","young","LT"
"young_LT_HSC_147","young","LT"
"young_LT_HSC_148","young","LT"
"young_LT_HSC_145","young","LT"
"young_LT_HSC_149","young","LT"
"young_LT_HSC_150","young","LT"
"young_LT_HSC_151","young","LT"
"young_LT_HSC_152","young","LT"
"young_LT_HSC_153","young","LT"
"young_LT_HSC_154","young","LT"
"young_LT_HSC_155","young","LT"
"young_LT_HSC_156","young","LT"
"young_LT_HSC_158","young","LT"
"young_LT_HSC_159","young","LT"
"young_LT_HSC_160","young","LT"
"young_LT_HSC_157","young","LT"
"young_LT_HSC_161","young","LT"
"young_LT_HSC_162","young","LT"
"young_LT_HSC_163","young","LT"
"young_LT_HSC_164","young","LT"
"young_LT_HSC_165","young","LT"
"young_LT_HSC_166","young","LT"
"young_LT_HSC_167","young","LT"
"young_LT_HSC_170","young","LT"
"young_LT_HSC_171","young","LT"
"young_LT_HSC_172","young","LT"
"young_LT_HSC_169","young","LT"
"young_LT_HSC_173","young","LT"
"young_LT_HSC_174","young","LT"
"young_LT_HSC_175","young","LT"
"young_LT_HSC_176","young","LT"
"young_LT_HSC_177","young","LT"
"young_LT_HSC_178","young","LT"
"young_LT_HSC_179","young","LT"
"young_LT_HSC_182","young","LT"
"young_LT_HSC_183","young","LT"
"young_LT_HSC_184","young","LT"
"young_LT_HSC_185","young","LT"
"young_LT_HSC_186","young","LT"
"young_LT_HSC_187","young","LT"
"young_LT_HSC_188","young","LT"
"young_LT_HSC_189","young","LT"
"young_LT_HSC_190","young","LT"
"young_LT_HSC_191","young","LT"
"young_LT_HSC_192","young","LT"
"young_ST_HSC_3","young","ST"
"young_ST_HSC_5","young","ST"
"young_ST_HSC_6","young","ST"
"young_ST_HSC_7","young","ST"
"young_ST_HSC_8","young","ST"
"young_ST_HSC_9","young","ST"
"young_ST_HSC_10","young","ST"
"young_ST_HSC_11","young","ST"
"young_ST_HSC_12","young","ST"
"young_ST_HSC_14","young","ST"
"young_ST_HSC_15","young","ST"
"young_ST_HSC_16","young","ST"
"young_ST_HSC_13","young","ST"
"young_ST_HSC_18","young","ST"
"young_ST_HSC_19","young","ST"
"young_ST_HSC_21","young","ST"
"young_ST_HSC_22","young","ST"
"young_ST_HSC_23","young","ST"
"young_ST_HSC_26","young","ST"
"young_ST_HSC_27","young","ST"
"young_ST_HSC_28","young","ST"
"young_ST_HSC_25","young","ST"
"young_ST_HSC_30","young","ST"
"young_ST_HSC_32","young","ST"
"young_ST_HSC_33","young","ST"
"young_ST_HSC_35","young","ST"
"young_ST_HSC_36","young","ST"
"young_ST_HSC_38","young","ST"
"young_ST_HSC_39","young","ST"
"young_ST_HSC_40","young","ST"
"young_ST_HSC_41","young","ST"
"young_ST_HSC_42","young","ST"
"young_ST_HSC_43","young","ST"
"young_ST_HSC_44","young","ST"
"young_ST_HSC_45","young","ST"
"young_ST_HSC_46","young","ST"
"young_ST_HSC_47","young","ST"
"young_ST_HSC_50","young","ST"
"young_ST_HSC_51","young","ST"
"young_ST_HSC_52","young","ST"
"young_ST_HSC_53","young","ST"
"young_ST_HSC_54","young","ST"
"young_ST_HSC_57","young","ST"
"young_ST_HSC_58","young","ST"
"young_ST_HSC_59","young","ST"
"young_ST_HSC_60","young","ST"
"young_ST_HSC_63","young","ST"
"young_ST_HSC_64","young","ST"
"young_ST_HSC_61","young","ST"
"young_ST_HSC_65","young","ST"
"young_ST_HSC_66","young","ST"
"young_ST_HSC_67","young","ST"
"young_ST_HSC_68","young","ST"
"young_ST_HSC_69","young","ST"
"young_ST_HSC_70","young","ST"
"young_ST_HSC_71","young","ST"
"young_ST_HSC_72","young","ST"
"young_ST_HSC_74","young","ST"
"young_ST_HSC_75","young","ST"
"young_ST_HSC_73","young","ST"
"young_ST_HSC_77","young","ST"
"young_ST_HSC_78","young","ST"
"young_ST_HSC_79","young","ST"
"young_ST_HSC_80","young","ST"
"young_ST_HSC_82","young","ST"
"young_ST_HSC_83","young","ST"
"young_ST_HSC_84","young","ST"
"young_ST_HSC_86","young","ST"
"young_ST_HSC_87","young","ST"
"young_ST_HSC_88","young","ST"
"young_ST_HSC_89","young","ST"
"young_ST_HSC_90","young","ST"
"young_ST_HSC_91","young","ST"
"young_ST_HSC_92","young","ST"
"young_ST_HSC_93","young","ST"
"young_ST_HSC_94","young","ST"
"young_ST_HSC_95","young","ST"
"young_ST_HSC_96","young","ST"
"young_ST_HSC_99","young","ST"
"young_ST_HSC_101","young","ST"
"young_ST_HSC_102","young","ST"
"young_ST_HSC_104","young","ST"
"young_ST_HSC_106","young","ST"
"young_ST_HSC_107","young","ST"
"young_ST_HSC_108","young","ST"
"young_ST_HSC_110","young","ST"
"young_ST_HSC_111","young","ST"
"young_ST_HSC_112","young","ST"
"young_ST_HSC_109","young","ST"
"young_ST_HSC_113","young","ST"
"young_ST_HSC_114","young","ST"
"young_ST_HSC_115","young","ST"
"young_ST_HSC_116","young","ST"
"young_ST_HSC_117","young","ST"
"young_ST_HSC_118","young","ST"
"young_ST_HSC_119","young","ST"
"young_ST_HSC_122","young","ST"
"young_ST_HSC_124","young","ST"
"young_ST_HSC_121","young","ST"
"young_ST_HSC_125","young","ST"
"young_ST_HSC_126","young","ST"
"young_ST_HSC_127","young","ST"
"young_ST_HSC_128","young","ST"
"young_ST_HSC_129","young","ST"
"young_ST_HSC_130","young","ST"
"young_ST_HSC_131","young","ST"
"young_ST_HSC_132","young","ST"
"young_ST_HSC_134","young","ST"
"young_ST_HSC_135","young","ST"
"young_ST_HSC_136","young","ST"
"young_ST_HSC_133","young","ST"
"young_ST_HSC_137","young","ST"
"young_ST_HSC_138","young","ST"
"young_ST_HSC_139","young","ST"
"young_ST_HSC_140","young","ST"
"young_ST_HSC_141","young","ST"
"young_ST_HSC_142","young","ST"
"young_ST_HSC_143","young","ST"
"young_ST_HSC_144","young","ST"
"young_ST_HSC_146","young","ST"
"young_ST_HSC_147","young","ST"
"young_ST_HSC_148","young","ST"
"young_ST_HSC_145","young","ST"
"young_ST_HSC_149","young","ST"
"young_ST_HSC_150","young","ST"
"young_ST_HSC_151","young","ST"
"young_ST_HSC_153","young","ST"
"young_ST_HSC_154","young","ST"
"young_ST_HSC_155","young","ST"
"young_ST_HSC_156","young","ST"
"young_ST_HSC_158","young","ST"
"young_ST_HSC_159","young","ST"
"young_ST_HSC_160","young","ST"
"young_ST_HSC_157","young","ST"
"young_ST_HSC_162","young","ST"
"young_ST_HSC_163","young","ST"
"young_ST_HSC_164","young","ST"
"young_ST_HSC_165","young","ST"
"young_ST_HSC_166","young","ST"
"young_ST_HSC_167","young","ST"
"young_ST_HSC_168","young","ST"
"young_ST_HSC_170","young","ST"
"young_ST_HSC_171","young","ST"
"young_ST_HSC_172","young","ST"
"young_ST_HSC_169","young","ST"
"young_ST_HSC_173","young","ST"
"young_ST_HSC_174","young","ST"
"young_ST_HSC_175","young","ST"
"young_ST_HSC_176","young","ST"
"young_ST_HSC_177","young","ST"
"young_ST_HSC_178","young","ST"
"young_ST_HSC_179","young","ST"
"young_ST_HSC_182","young","ST"
"young_ST_HSC_183","young","ST"
"young_ST_HSC_184","young","ST"
"young_ST_HSC_185","young","ST"
"young_ST_HSC_186","young","ST"
"young_ST_HSC_187","young","ST"
"young_ST_HSC_188","young","ST"
"young_ST_HSC_189","young","ST"
"young_ST_HSC_190","young","ST"
"young_ST_HSC_191","young","ST"
"young_ST_HSC_192","young","ST"
"young_MPP_2","young","MPP"
"young_MPP_5","young","MPP"
"young_MPP_6","young","MPP"
"young_MPP_8","young","MPP"
"young_MPP_9","young","MPP"
"young_MPP_10","young","MPP"
"young_MPP_11","young","MPP"
"young_MPP_12","young","MPP"
"young_MPP_14","young","MPP"
"young_MPP_15","young","MPP"
"young_MPP_16","young","MPP"
"young_MPP_13","young","MPP"
"young_MPP_17","young","MPP"
"young_MPP_18","young","MPP"
"young_MPP_19","young","MPP"
"young_MPP_20","young","MPP"
"young_MPP_21","young","MPP"
"young_MPP_22","young","MPP"
"young_MPP_23","young","MPP"
"young_MPP_24","young","MPP"
"young_MPP_26","young","MPP"
"young_MPP_27","young","MPP"
"young_MPP_28","young","MPP"
"young_MPP_25","young","MPP"
"young_MPP_29","young","MPP"
"young_MPP_30","young","MPP"
"young_MPP_31","young","MPP"
"young_MPP_32","young","MPP"
"young_MPP_33","young","MPP"
"young_MPP_34","young","MPP"
"young_MPP_35","young","MPP"
"young_MPP_36","young","MPP"
"young_MPP_38","young","MPP"
"young_MPP_39","young","MPP"
"young_MPP_40","young","MPP"
"young_MPP_37","young","MPP"
